"chromosome","position","id"
1,55298,"rs10399749"
1,79049,"rs62641299"
1,826577,"rs115523412"
1,861386,"rs75932129"
1,863019,"rs10900604"
1,875399,"rs58686784"
1,898443,"rs28484835"
1,920718,"rs28534711"
1,934936,"rs28451560"
1,990303,"rs6605061"
1,1129421,"rs2298216"
1,1152302,"rs9442380"
1,1174572,"rs11260540"
1,1203354,"rs11466698"
1,1229940,"rs143841174"
1,1292284,"rs3831920"
1,1330124,"rs35946613"
1,1362041,"rs2765021"
1,1568427,"rs11578409"
1,1637576,"rs28688376"
1,1720695,"rs113766033"
1,1734898,"rs2072924"
1,1742671,"rs72634839"
1,1764894,"rs35270315"
1,1981983,"rs116304368"
1,1985147,"rs3795283"
1,2031379,"rs16824628"
1,2067848,"rs2459985"
1,2069855,"rs2803302"
1,2111103,"rs11584491"
1,2118159,"rs3107148"
1,2151018,"rs262670"
1,2246287,"rs263535"
1,2320961,"rs34121936"
1,2351240,"rs2279704"
1,2451652,"rs79970356"
1,2507542,"rs1107686"
1,2521004,"rs4648643"
1,2568458,"rs4385650"
1,2806648,"rs4648450"
1,2890189,"rs10909831"
1,2906750,"rs750786"
1,2944638,"rs111603921"
1,2978988,"rs34183832"
1,2993760,"rs57720952"
1,3032463,"rs1890338"
1,3139056,"rs10797379"
1,3440671,"rs202221244"
1,3472756,"rs2487687"
1,3524378,"rs12049449"
1,3553816,"rs12078542"
1,3607683,"rs74504141"
1,3614026,"rs4648530"
1,3670812,"rs3765695"
1,3683854,"rs3765709"
1,3689985,"rs3765725"
1,3742532,"rs3216059"
1,3801837,"rs112248193"
1,3857023,"rs7542369"
1,3857908,"rs12740603"
1,3867889,"rs76754622"
1,3878951,"rs57517757"
1,3881430,"rs4073324"
1,4018884,"rs7548273"
1,4041636,"rs146200930"
1,4068634,"rs10915400"
1,4127760,"rs57905980"
1,4299782,"rs35777083"
1,4324202,"rs16838692"
1,4352039,"rs478115"
1,4413941,"rs349403"
1,4463329,"rs687951"
1,4495931,"rs2446692"
1,4515227,"rs12036337"
1,4517203,"rs7545719"
1,4529201,"rs241235"
1,4563362,"rs241269"
1,4588725,"rs550028"
1,4590463,"rs2411781"
1,4621417,"rs12123639"
1,4700351,"rs113855348"
1,4704545,"rs61765033"
1,4730927,"rs242051"
1,4760738,"rs397559"
1,4804924,"rs10915606"
1,4844679,"rs10915624"
1,4923964,"rs6702564"
1,5004611,"rs28667637"
1,5026646,"rs10218468"
1,5127590,"rs2722791"
1,5159993,"rs12097824"
1,5208671,"rs2353159"
1,5210603,"rs150354229"
1,5213374,"rs10799182"
1,5264536,"rs681122"
1,5281187,"rs17457420"
1,5331209,"rs113823050"
1,5503526,"rs12123786"
1,5568296,"rs12072583"
1,5575578,"rs904526"
1,5639414,"rs10492947"
1,5649167,"rs697708"
1,5673529,"rs771070"
1,5684860,"rs770702"
1,5689165,"rs1695616"
1,5690959,"rs770711"
1,5695086,"rs2842267"
1,5733637,"rs9661217"
1,5744048,"rs140047417"
1,5795298,"rs7527481"
1,5870148,"rs12405167"
1,5892596,"rs61762099"
1,5966198,"rs2050653"
1,6084633,"rs3789533"
1,6137031,"rs17436753"
1,6379713,"rs12408931"
1,6406883,"rs57440563"
1,6415625,"rs11364"
1,6502723,"rs2986747"
1,6506654,"rs9787174"
1,6616424,"rs12731208"
1,6625381,"rs12746591"
1,6696373,"rs3827729"
1,6728934,"rs56851663"
1,6798797,"rs11122154"
1,6929355,"rs111677930"
1,6981114,"rs6698901"
1,7016860,"rs60829219"
1,7019002,"rs6693691"
1,7068268,"rs72640058"
1,7081061,"rs9434826"
1,7132834,"rs9434478"
1,7269076,"rs2227215"
1,7305717,"rs56235438"
1,7320001,"rs2001143"
1,7408168,"rs6695220"
1,7420309,"rs845253"
1,7427095,"rs7537337"
1,7456686,"rs12134334"
1,7498373,"rs200560655"
1,7507590,"rs78301996"
1,7509541,"rs1193179"
1,7520490,"rs12239260"
1,7577918,"rs10492961"
1,7658265,"rs12124522"
1,7722472,"rs34351762"
1,7786031,"rs697683"
1,7800319,"rs34663504"
1,7801539,"rs707466"
1,7828377,"rs17374439"
1,7832855,"rs199709802"
1,7845213,"rs4908699"
1,7865536,"rs533994"
1,7894402,"rs184474"
1,7898666,"rs11121048"
1,7958974,"rs226248"
1,8001712,"rs113896984"
1,8125924,"rs9434608"
1,8133157,"rs1542388"
1,8154742,"rs2100516"
1,8239048,"rs6577475"
1,8256671,"rs2046845"
1,8262082,"rs12082454"
1,8263894,"rs1890806"
1,8606351,"rs55802878"
1,8785139,"rs11586056"
1,8850484,"rs6676113"
1,8906289,"rs60781953"
1,8913164,"rs141129032"
1,8950924,"rs11576766"
1,9034503,"rs12035518"
1,9054031,"rs7521322"
1,9074036,"rs6698677"
1,9129253,"rs13375922"
1,9205002,"rs9435122"
1,9235384,"rs9435144"
1,9267117,"rs72641817"
1,9268151,"rs9434747"
1,9298948,"rs12069701"
1,9313537,"rs1294052"
1,9315526,"rs525476"
1,9321669,"rs11584306"
1,9330462,"rs4908844"
1,9426562,"rs67798200"
1,9512109,"rs7412454"
1,9662464,"rs6666059"
1,9693103,"rs66735688"
1,9717392,"rs34287026"
1,9768264,"rs56109009"
1,9864094,"rs74054126"
1,9876982,"rs12128766"
1,9988816,"rs149694992"
1,10294212,"rs7520935"
1,10357995,"rs12403465"
1,10390747,"rs12120465"
1,10543834,"rs2506897"
1,10572177,"rs4846235"
1,10582735,"rs7552996"
1,10609459,"rs576102"
1,10645428,"rs284245"
1,10776335,"rs41307747"
1,10909211,"rs1280979"
1,11003914,"rs9430334"
1,11347113,"rs3124638"
1,11367244,"rs2788569"
1,11428163,"rs2379148"
1,11506531,"rs2817634"
1,11630708,"rs10779763"
1,11635045,"rs11121788"
1,11662630,"rs3125815"
1,11710689,"rs11121808"
1,11728817,"rs59565686"
1,11736966,"rs12116971"
1,11810673,"rs12564002"
1,11881316,"rs74615773"
1,11889582,"rs61527718"
1,11909556,"rs10864545"
1,11916363,"rs7528891"
1,11961227,"rs56091992"
1,12015115,"rs72641031"
1,12042890,"rs67901698"
1,12056319,"rs111684313"
1,12120747,"rs501525"
1,12209889,"rs235215"
1,12533654,"rs10864556"
1,12539395,"rs6541025"
1,12555463,"rs6684680"
1,12563372,"rs4846115"
1,12603835,"rs4845909"
1,12612829,"rs4846129"
1,12679766,"rs2799845"
1,12744026,"rs6662299"
1,12789720,"rs11583964"
